lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.0	24.5	6.0	6.7	11.9	17.1	14.7	NA
en-de	15.2	26.4	10.9	8.0	13.6	16.9	16.7	NA
en-fi	12.7	17.9	5.3	7.4	10.1	NA	12.1	NA
en-fr	18.2	28.7	14.8	8.7	15.4	16.8	18.0	NA
en-lt	16.3	27.3	5.9	9.5	20.6	NA	23.9	NA
en-ro	17.7	27.1	6.9	7.6	13.8	17.7	16.2	NA
en-ta	NA	NA	7.2	10.6	22.9	21.0	17.5	NA
cs-en	17.6	30.1	7.1	7.5	12.9	NA	15.7	NA
fr-en	16.5	29.5	14.2	7.7	14.3	NA	16.3	NA
lt-en	17.6	32.9	6.7	6.8	15.1	NA	16.2	NA
ro-en	17.9	29.6	7.2	7.8	13.9	NA	15.7	NA
mean	16.5	27.4	8.4	8.0	15.0	17.9	16.6	NA
