lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	72.2	90.4	64.2	88.2	84.2	97.8	94.0	63.0
en-de	83.6	96.2	73.2	97.0	96.0	98.4	97.8	84.0
en-fi	60.0	88.4	56.4	87.6	87.0	NA	92.4	55.8
en-fr	86.6	96.0	72.8	92.2	93.4	98.6	97.8	84.4
en-lt	50.6	82.6	52.2	84.4	83.2	NA	82.8	56.2
en-ro	78.6	92.0	59.6	88.4	92.0	96.6	97.6	70.8
en-ta	NA	NA	56.2	94.2	60.4	96.6	93.0	76.4
cs-en	97.6	99.0	92.8	97.6	99.6	99.8	99.6	NA
fr-en	97.0	99.4	93.6	99.0	99.6	99.8	99.8	NA
lt-en	93.0	95.6	85.4	94.6	96.8	NA	97.4	NA
ro-en	96.6	99.4	86.8	97.8	99.2	99.6	99.8	NA
mean	81.6	93.9	72.1	92.8	90.1	98.4	95.6	70.1
