lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.4	26.0	7.2	7.0	12.7	16.6	14.1	NA
en-de	18.1	27.0	13.3	7.8	14.1	17.5	16.4	NA
en-fi	14.7	19.5	6.0	6.5	12.5	NA	12.3	NA
en-fr	19.9	29.3	16.2	9.0	16.2	17.8	18.0	NA
en-lt	18.6	29.7	6.2	9.0	21.1	NA	23.3	NA
en-ro	19.3	27.6	7.1	8.0	14.4	17.1	16.2	NA
en-ta	NA	NA	8.3	10.0	23.0	21.5	17.9	NA
cs-en	18.0	30.4	7.2	7.4	12.7	21.7	15.8	NA
fr-en	17.3	30.0	14.4	7.7	14.4	17.5	16.4	NA
lt-en	17.5	31.6	7.1	6.5	13.8	NA	15.3	NA
ro-en	18.5	29.6	8.0	7.8	13.9	16.7	15.8	NA
mean	17.9	28.1	9.2	7.9	15.3	18.3	16.5	NA
