modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	8.6	15.4	17.0	8.9	10.0	4.0	11.5	13.3
xglm-label-trim	en-cs	13.8	19.4	20.5	12.1	11.2	4.4	13.7	16.9
xglm-keywords10-seen500-trim	en-cs	16.4	21.8	13.0	11.3	14.2	4.2	15.2	NA
xglm-topic3shot-seen500-trim	en-cs	18.1	22.3	24.8	12.2	13.5	4.2	15.4	NA
xglm-rand-label-trim	en-cs	12.9	18.9	19.4	11.2	12.3	4.3	12.5	16.6
verbose-base-trim	en-cs	15.7	18.6	15.6	7.6	10.7	4.0	13.0	17.6
xglm-keywords30-seen500-trim	en-cs	16.5	21.2	13.7	12.0	13.2	4.3	15.8	NA
xglm-rand-keywords10-seen500-trim	en-cs	15.4	21.9	13.7	12.3	12.1	4.4	13.9	NA
xglm-rand-keywords10-seen-all-trim	en-cs	15.5	21.7	19.1	11.6	13.8	4.6	14.0	NA
xglm-rand-topic3shot-seen500-trim	en-cs	18.1	22.4	24.5	12.2	13.3	4.2	15.3	NA
xglm-rand-3shot-seen-all-trim	en-cs	16.1	21.6	22.2	13.0	14.5	4.4	13.3	NA
xglm-bm25-3shot-seen-all-trim	en-cs	15.0	20.4	19.3	9.7	11.6	4.3	10.9	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	17.5	22.9	22.9	11.1	12.5	3.9	12.9	NA
xglm-topic1shot-seen500-trim	en-cs	16.9	21.5	23.0	11.0	13.6	4.3	13.6	NA
xglm-topic5shot-seen500-trim	en-cs	20.4	23.2	23.6	11.9	14.5	4.4	15.3	NA
xglm-topic3shot-seen200-trim	en-cs	17.7	20.6	24.8	12.4	12.9	4.8	14.5	20.0
xglm-topic3shot-seen1000-trim	en-cs	18.5	22.8	23.7	11.2	13.5	4.3	13.9	NA
xglm-bm25-3shot-langs-trim	en-cs	31.4	30.9	29.1	12.5	17.9	21.4	18.0	NA
xglm-sentsim-3shot-langs-trim	en-cs	29.6	28.9	27.8	13.0	16.1	19.0	16.6	NA
xglm-topic3shot-lang500-trim	en-cs	19.4	24.5	24.6	12.6	16.2	5.4	15.5	NA
xglm-topic3shot-domain200-trim	en-cs	18.0	22.9	24.0	12.5	12.4	4.5	15.2	NA
xglm-domain3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-cs	18.5	22.2	23.1	12.9	15.1	4.9	15.6	NA
xglm-rand-topic3shot-seen200-trim	en-cs	17.8	21.6	23.6	12.6	13.2	4.5	14.7	20.6
xglm-base-trim	en-de	18.5	20.2	16.0	18.2	19.6	11.1	21.0	23.9
xglm-label-trim	en-de	22.8	25.5	19.0	18.7	22.1	12.5	21.7	27.5
xglm-keywords10-seen500-trim	en-de	23.7	26.4	18.7	18.4	21.6	12.3	22.4	NA
xglm-topic3shot-seen500-trim	en-de	25.9	27.0	21.7	19.1	23.4	11.9	24.0	NA
xglm-rand-label-trim	en-de	22.1	25.5	18.1	18.1	21.1	12.3	22.4	28.1
verbose-base-trim	en-de	22.2	24.0	18.2	14.8	19.8	11.6	20.9	24.8
xglm-keywords30-seen500-trim	en-de	22.9	26.4	19.4	18.5	23.5	12.1	23.1	NA
xglm-rand-keywords10-seen500-trim	en-de	22.1	26.3	18.4	18.6	22.3	12.0	22.1	NA
xglm-rand-keywords10-seen-all-trim	en-de	23.5	26.3	20.2	18.5	22.5	12.3	22.2	NA
xglm-rand-topic3shot-seen500-trim	en-de	25.9	27.1	21.7	19.0	23.4	12.0	23.9	NA
xglm-rand-3shot-seen-all-trim	en-de	23.0	25.8	19.3	18.1	21.6	11.8	23.3	NA
xglm-bm25-3shot-seen-all-trim	en-de	23.7	25.5	19.9	15.9	21.3	11.7	22.1	NA
xglm-sentsim-3shot-seen-all-trim	en-de	24.3	27.0	20.4	17.4	20.9	11.5	21.8	NA
xglm-topic1shot-seen500-trim	en-de	24.7	25.7	20.7	17.6	21.2	11.3	22.0	NA
xglm-topic5shot-seen500-trim	en-de	26.6	27.7	22.4	19.0	23.5	12.2	23.9	NA
xglm-topic3shot-seen200-trim	en-de	25.8	26.0	22.4	18.3	22.9	11.7	22.7	30.5
xglm-topic3shot-seen1000-trim	en-de	26.0	27.1	21.3	17.4	23.0	12.0	22.8	NA
xglm-bm25-3shot-langs-trim	en-de	34.0	35.3	26.4	18.8	23.2	23.1	23.5	NA
xglm-sentsim-3shot-langs-trim	en-de	30.6	32.8	24.9	17.8	24.8	23.2	23.0	NA
xglm-topic3shot-lang500-trim	en-de	26.9	27.4	23.0	18.4	23.4	13.1	23.8	NA
xglm-topic3shot-domain200-trim	en-de	26.3	26.8	21.7	18.5	23.7	12.8	23.4	NA
