modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	41.4	79.8	59.8	82.8	78.4	90.0	83.4	52.2
verbose-base-trim	en-cs	94.8	98.6	89.6	93.0	96.0	97.8	98.2	88.6
xglm-label-trim	en-cs	76.8	90.6	56.6	89.2	84.8	97.4	94.0	58.4
xglm-rand-label-trim	en-cs	72.2	90.4	64.2	88.2	84.2	97.8	94.0	63.0
xglm-keywords10-seen200-trim	en-cs	86.8	95.4	78.0	92.4	91.6	97.6	96.6	77.6
xglm-rand-keywords10-seen200-trim	en-cs	87.0	92.6	72.0	91.2	93.0	99.0	96.2	75.6
xglm-keywords10-all500-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-keywords30-seen200-trim	en-cs	88.2	96.2	75.2	90.2	94.0	97.8	97.0	NA
xglm-topic3shot-seen200-trim	en-cs	95.0	95.6	89.4	92.6	94.6	99.0	98.6	86.4
xglm-topic3shot-all500-trim	en-cs	95.6	99.2	90.6	92.8	94.8	98.6	99.0	87.0
xglm-topic3shot-cc100-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200-trim	en-cs	94.0	98.2	88.2	93.0	91.8	97.4	96.6	84.0
xglm-rand-topic3shot-seen200-trim	en-cs	96.6	98.2	88.8	92.2	95.6	99.6	97.8	87.0
xglm-rand-domain3shot-langs-trim	en-cs	97.6	99.2	92.2	93.0	97.0	99.2	98.8	NA
xglm-rand-domain3shot-all-trim	en-cs	95.4	99.4	90.2	93.0	95.6	98.6	99.2	NA
xglm-truerand-3shot-langs-trim	en-cs	97.0	98.8	92.4	93.8	96.6	98.4	99.0	NA
xglm-truerand-3shot-all-trim	en-cs	96.4	99.0	90.4	93.2	96.2	99.0	98.2	NA
xglm-topic5shot-seen200-trim	en-cs	97.6	97.8	91.2	93.4	95.8	98.8	98.2	NA
xglm-keywords10-cc100-trim	en-cs	88.4	94.8	77.4	91.0	93.6	97.8	97.0	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	96.6	99.0	90.0	91.4	95.2	98.8	98.6	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-rand-domainkeywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
