lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.6	98.2	87.6	92.4	93.6	92.6	98.8	86.2
en-de	96.2	98.2	89.6	97.6	97.2	83.0	98.8	92.0
en-fi	93.6	97.0	85.0	95.2	95.2	NA	99.4	83.8
en-fr	94.2	98.2	83.6	93.6	96.2	77.4	97.6	92.6
en-lt	92.4	95.0	84.6	93.8	92.8	NA	94.8	83.6
en-ro	96.2	99.4	84.2	94.6	96.6	95.0	99.2	87.0
en-ta	NA	NA	94.0	97.4	97.4	97.8	98.8	95.8
cs-en	90.0	86.6	81.4	96.8	95.4	NA	98.0	NA
fr-en	89.8	93.2	85.8	96.0	94.0	NA	95.6	NA
lt-en	86.4	84.8	76.6	94.0	93.6	NA	94.0	NA
ro-en	90.6	95.0	80.2	95.0	97.2	NA	98.4	NA
mean	92.4	94.6	84.8	95.1	95.4	89.2	97.6	88.7
