lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	94.8	98.6	89.6	93.0	96.0	97.8	98.2	88.6
en-de	96.8	98.2	94.0	98.0	97.4	98.6	98.8	97.2
en-fi	95.4	96.6	92.4	95.2	96.8	NA	98.4	92.0
en-fr	95.2	98.6	91.4	93.0	95.2	99.0	97.4	95.2
en-lt	91.8	92.6	88.0	90.2	94.0	NA	95.2	83.0
en-ro	96.6	99.0	87.2	93.0	96.8	99.0	98.4	89.6
en-ta	NA	NA	85.6	92.0	95.6	93.6	94.6	87.6
cs-en	97.8	97.4	92.0	97.8	99.4	99.2	99.8	NA
fr-en	96.8	98.6	93.6	98.8	99.2	100.0	99.4	NA
lt-en	92.8	95.8	84.8	95.6	96.8	NA	96.2	NA
ro-en	97.0	98.8	88.4	97.6	99.2	100.0	99.6	NA
mean	95.5	97.4	89.7	94.9	96.9	98.4	97.8	90.5
