lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	31.5	52.1	51.3	11.2	23.1	41.2	18.5	53.8
en-de	36.0	60.6	56.1	11.6	21.9	44.8	19.1	53.6
en-fi	30.1	43.3	49.7	11.1	20.1	NA	13.8	58.6
en-fr	41.9	65.2	63.9	16.3	29.9	59.5	23.2	55.8
en-lt	30.0	50.8	39.8	10.2	28.9	NA	24.8	48.4
en-ro	34.8	52.7	50.8	11.5	16.6	30.2	18.4	51.3
en-ta	NA	NA	35.3	11.7	31.4	23.8	18.2	30.2
cs-en	33.8	55.9	47.2	10.4	16.7	NA	20.4	NA
fr-en	34.5	57.9	48.4	19.0	26.7	NA	28.2	NA
lt-en	28.1	56.1	41.0	13.2	22.8	NA	20.2	NA
ro-en	32.4	51.3	46.7	11.7	21.7	NA	24.2	NA
mean	33.3	54.6	48.2	12.5	23.6	39.9	20.8	50.2
