lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.3	81.0	70.9	67.7	70.4	65.4	73.7	NA
en-de	73.4	79.1	68.9	69.8	72.9	67.7	76.9	NA
en-fi	75.4	78.4	68.4	70.6	73.9	NA	78.0	NA
en-fr	76.4	82.0	70.8	70.6	72.8	68.8	78.5	NA
en-lt	46.5	44.3	56.1	47.7	43.3	NA	43.5	NA
en-ro	74.8	82.4	68.0	70.1	72.5	66.7	77.0	NA
en-ta	NA	NA	47.1	46.7	37.9	33.5	40.0	NA
cs-en	79.0	80.9	70.3	72.0	74.0	65.0	77.7	NA
fr-en	78.5	82.5	72.9	74.0	77.2	70.4	81.0	NA
lt-en	66.4	68.3	57.4	54.9	55.8	NA	58.3	NA
ro-en	77.8	82.1	69.6	73.8	75.8	63.8	80.2	NA
mean	72.3	76.1	65.5	65.3	66.0	62.7	69.5	NA
