lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.7	25.0	6.4	7.8	12.0	17.3	14.4	14.6
en-de	15.6	28.1	11.6	7.7	13.8	16.5	15.8	11.8
en-fi	17.3	19.5	6.5	7.2	11.8	NA	14.3	15.3
en-fr	18.3	29.7	13.6	8.4	14.6	16.7	17.2	13.4
en-lt	16.6	30.1	6.9	8.6	18.0	NA	22.1	17.8
en-ro	17.9	28.4	7.2	8.9	14.3	18.0	16.1	18.5
en-ta	NA	NA	27.9	11.5	27.9	24.3	19.9	27.0
cs-en	19.2	31.5	9.9	7.6	13.5	24.3	15.9	16.6
fr-en	17.3	31.4	15.5	7.9	14.6	17.1	16.8	12.1
lt-en	22.4	40.6	14.4	6.8	16.3	NA	17.1	19.9
ro-en	19.0	31.5	9.7	8.0	14.1	16.8	16.0	19.2
mean	18.0	29.6	11.8	8.2	15.5	18.9	16.9	16.9
