lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	13.8	19.4	20.5	12.1	11.2	4.4	13.7	16.9
en-de	22.8	25.5	19.0	18.7	22.1	12.5	21.7	27.5
en-fi	9.0	7.5	16.6	7.1	10.1	NA	11.6	10.7
en-fr	28.8	33.7	31.7	22.7	29.7	13.2	29.2	37.4
en-lt	4.2	4.2	5.3	1.1	0.9	NA	1.2	5.6
en-ro	16.3	22.7	15.5	13.8	16.4	5.2	20.3	21.7
en-ta	NA	NA	1.4	0.6	0.6	0.0	0.1	1.8
cs-en	33.2	37.3	31.4	26.1	26.2	14.8	28.1	NA
fr-en	39.2	43.4	37.3	28.8	35.9	18.3	35.6	NA
lt-en	12.7	14.7	11.7	5.1	8.3	NA	8.7	NA
ro-en	39.0	42.1	31.1	31.7	30.9	12.2	34.7	NA
mean	21.9	25.1	20.1	15.3	17.5	10.1	18.6	17.4
