lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	12.9	18.9	19.4	11.2	12.3	4.3	12.5	16.6
en-de	22.1	25.5	18.1	18.1	21.1	12.3	22.4	28.1
en-fi	9.1	7.9	17.3	6.5	10.0	NA	11.1	10.4
en-fr	28.0	33.3	30.8	21.5	28.9	12.8	30.1	38.3
en-lt	4.3	4.2	5.2	0.7	0.9	NA	1.4	6.1
en-ro	15.1	21.5	16.2	13.7	16.6	5.0	19.5	20.0
en-ta	NA	NA	0.7	0.6	0.5	0.0	0.1	1.9
cs-en	33.1	35.3	29.1	25.3	25.4	9.6	27.2	NA
fr-en	38.5	41.0	37.8	28.1	35.6	16.3	34.8	NA
lt-en	11.2	13.5	11.2	4.8	7.6	NA	8.5	NA
ro-en	38.3	39.0	27.5	30.8	30.6	9.5	34.9	NA
mean	21.3	24.0	19.4	14.7	17.2	8.7	18.4	17.3
