lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	72.6	80.5	72.9	72.0	70.9	65.7	74.5	74.5
en-de	75.6	80.4	73.4	75.7	76.9	70.2	79.8	83.4
en-fi	72.0	77.6	71.4	74.2	75.7	NA	79.2	72.9
en-fr	78.8	83.3	73.9	74.8	76.7	69.4	81.0	84.5
en-lt	49.6	45.8	59.4	51.9	46.3	NA	45.4	57.3
en-ro	72.1	82.9	71.6	74.4	75.5	66.5	80.1	76.2
en-ta	NA	NA	47.9	47.4	38.4	30.1	39.3	42.7
cs-en	82.9	82.5	80.1	77.2	78.8	66.0	81.6	NA
fr-en	83.0	84.6	79.8	79.4	81.8	73.0	85.2	NA
lt-en	64.0	62.7	60.7	54.6	57.0	NA	58.7	NA
ro-en	82.0	83.6	78.8	78.8	80.2	66.2	84.0	NA
mean	73.3	76.4	70.0	69.1	68.9	63.4	71.7	70.2
