modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	lt-en	8.6	11.5	4.4	4.2	7.2	NA	8.6	11.8
xglm-label-trim	lt-en	12.7	14.7	11.7	5.1	8.3	NA	8.7	NA
xglm-keywords10-seen500-trim	lt-en	11.3	16.1	8.9	5.7	8.6	NA	9.1	NA
xglm-topic3shot-seen500-trim	lt-en	16.5	19.2	13.1	6.7	8.4	NA	9.2	NA
xglm-rand-label-trim	lt-en	11.2	13.5	11.2	4.8	7.6	NA	8.5	NA
verbose-base-trim	lt-en	10.7	13.6	7.4	4.9	8.3	NA	9.0	NA
xglm-keywords30-seen500-trim	lt-en	11.5	14.6	6.4	5.9	9.1	NA	9.2	NA
xglm-rand-keywords10-seen500-trim	lt-en	10.7	14.0	6.4	4.9	8.4	NA	8.6	NA
xglm-rand-keywords10-seen-all-trim	lt-en	12.5	13.6	7.1	5.7	7.6	NA	9.7	NA
xglm-rand-topic3shot-seen500-trim	lt-en	16.5	19.1	13.1	6.7	8.5	NA	9.2	NA
xglm-rand-3shot-seen-all-trim	lt-en	4.4	3.5	5.1	0.8	1.2	NA	0.9	NA
xglm-bm25-3shot-seen-all-trim	lt-en	4.4	3.6	5.1	1.0	0.9	NA	0.9	NA
xglm-sentsim-3shot-seen-all-trim	lt-en	4.4	3.8	5.1	0.7	1.2	NA	0.9	NA
xglm-topic1shot-seen500-trim	lt-en	12.7	17.5	11.0	5.2	8.1	NA	7.8	NA
xglm-topic5shot-seen500-trim	lt-en	16.6	20.3	13.5	6.1	9.1	NA	9.2	NA
xglm-topic3shot-seen200-trim	lt-en	17.3	16.0	11.5	4.8	7.8	NA	8.3	12.4
xglm-topic3shot-seen1000-trim	lt-en	17.6	21.1	11.9	5.0	8.1	NA	8.8	NA
xglm-bm25-3shot-langs-trim	lt-en	27.9	28.5	27.4	9.8	16.8	NA	18.9	NA
xglm-sentsim-3shot-langs-trim	lt-en	28.3	28.2	23.6	10.9	17.3	NA	18.9	NA
xglm-topic3shot-lang500-trim	lt-en	17.5	22.5	14.5	7.3	10.9	NA	12.8	NA
xglm-topic3shot-domain200-trim	lt-en	19.1	20.5	13.5	7.3	9.7	NA	11.3	NA
xglm-domain3shot-all-trim	lt-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	lt-en	13.8	17.3	12.0	6.7	10.6	NA	11.8	NA
xglm-rand-topic3shot-seen200-trim	lt-en	9.8	13.7	3.4	2.2	5.0	NA	6.4	NA
