lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	78.1	83.7	76.5	72.7	74.2	65.3	77.0	NA
en-de	76.7	81.2	NA	NA	NA	NA	NA	NA
en-fi	NA	NA	74.0	74.8	77.7	NA	80.7	NA
en-fr	79.7	83.8	75.1	75.7	77.3	69.2	81.5	NA
en-lt	48.5	43.7	60.4	49.7	43.0	NA	43.7	NA
en-ro	76.1	84.2	74.4	75.7	76.3	67.8	80.9	NA
en-ta	NA	NA	44.2	46.9	37.2	NA	NA	NA
cs-en	83.4	NA	NA	NA	79.4	NA	82.2	NA
fr-en	83.3	NA	NA	NA	NA	NA	NA	NA
lt-en	67.7	65.7	NA	NA	NA	NA	62.4	NA
ro-en	NA	84.4	79.4	80.1	80.7	NA	84.7	NA
mean	74.2	75.2	69.1	67.9	68.2	67.4	74.1	NA
