lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.5	26.3	6.5	7.3	12.0	17.6	15.3	NA
en-de	16.5	28.5	11.8	8.0	14.1	18.3	16.9	NA
en-fi	14.9	21.3	6.4	7.4	11.1	NA	13.1	NA
en-fr	18.9	29.8	15.2	8.6	15.8	18.5	18.0	NA
en-lt	16.6	29.0	5.9	7.7	19.0	NA	21.8	NA
en-ro	17.8	28.2	7.2	7.9	14.3	17.3	16.3	NA
en-ta	NA	NA	7.4	10.2	23.6	20.2	18.4	NA
cs-en	16.3	24.9	6.4	6.5	11.1	18.7	13.8	NA
fr-en	19.3	30.1	15.6	8.1	15.2	16.7	17.6	NA
lt-en	14.0	21.2	5.7	5.1	11.5	NA	12.4	NA
ro-en	18.7	27.4	7.2	7.7	13.9	16.2	15.5	NA
mean	16.9	26.7	8.7	7.7	14.7	17.9	16.3	NA
