lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.7	24.3	6.2	6.8	12.2	16.6	13.9	NA
en-de	15.1	26.2	11.1	7.7	13.6	16.6	16.3	NA
en-fi	12.9	17.7	5.2	6.5	11.0	NA	12.1	NA
en-fr	18.1	29.1	14.9	8.6	15.6	17.3	17.9	NA
en-lt	17.3	29.2	6.0	8.8	20.9	NA	23.2	NA
en-ro	17.5	27.3	6.8	8.0	14.0	17.1	16.1	NA
en-ta	NA	NA	8.0	9.9	22.7	21.5	17.9	NA
cs-en	17.9	30.4	7.1	7.4	12.7	21.7	15.8	NA
fr-en	16.5	29.8	14.3	7.7	14.4	17.3	16.4	NA
lt-en	17.2	31.0	7.1	6.5	13.8	NA	15.3	NA
ro-en	17.9	29.5	7.3	7.8	13.9	16.7	15.8	NA
mean	16.5	27.4	8.5	7.8	15.0	18.1	16.4	NA
