lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	65.7	76.6	71.6	70.8	69.6	63.2	72.1	71.2
en-de	71.8	74.0	72.1	75.0	74.4	68.5	78.2	80.4
en-fi	65.4	68.8	68.4	70.3	70.3	NA	71.3	70.2
en-fr	75.2	79.6	72.9	72.6	73.9	68.7	78.9	82.4
en-lt	54.7	45.9	59.9	52.0	47.8	NA	47.3	58.7
en-ro	66.5	79.2	70.9	74.1	72.5	65.7	77.1	73.4
en-ta	NA	NA	39.5	46.9	35.9	28.9	37.9	38.7
cs-en	82.4	81.3	77.3	76.3	77.8	66.6	80.7	79.1
fr-en	82.7	83.9	78.0	79.2	81.2	73.2	84.8	87.6
lt-en	62.4	62.5	55.6	54.3	56.7	NA	58.6	63.7
ro-en	81.4	83.7	75.7	78.3	79.0	66.2	83.6	79.3
mean	70.8	73.5	67.4	68.2	67.2	62.6	70.0	71.3
