lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	7.6	10.2	3.2	8.4	6.9	3.3	11.3	4.9
en-de	11.8	14.0	5.9	16.8	16.4	9.0	21.6	8.8
en-fi	4.7	4.0	2.7	4.9	6.9	NA	9.4	3.2
en-fr	15.6	20.9	13.0	17.8	20.6	7.1	29.6	13.4
en-lt	2.8	3.0	1.8	0.6	0.8	NA	1.2	2.3
en-ro	10.2	12.8	3.1	11.3	12.0	3.9	19.0	8.8
en-ta	NA	NA	0.2	0.6	0.9	0.0	0.1	1.2
cs-en	27.0	28.4	13.0	25.3	25.4	8.6	27.2	NA
fr-en	31.9	37.0	26.7	27.9	33.2	15.4	34.8	NA
lt-en	9.6	11.2	6.9	4.8	6.9	NA	8.4	NA
ro-en	31.6	35.1	13.3	30.8	30.1	9.5	34.1	NA
mean	15.3	17.7	8.2	13.6	14.6	7.1	17.9	6.1
