lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	67.8	67.7	54.3	66.9	66.6	58.1	73.5	NA
en-de	66.7	66.8	56.2	70.3	71.7	63.0	76.3	NA
en-fi	65.6	65.8	51.9	68.5	70.8	NA	77.4	NA
en-fr	69.1	67.3	54.6	69.6	70.4	58.3	78.3	NA
en-lt	42.1	39.7	45.9	47.3	42.6	NA	42.4	NA
en-ro	65.7	68.9	52.8	69.4	71.1	61.0	75.8	NA
en-ta	NA	NA	38.9	45.4	37.3	32.3	38.0	NA
cs-en	75.0	73.2	61.5	71.2	73.3	61.9	77.3	NA
fr-en	74.5	74.5	66.4	72.8	75.4	66.4	80.3	NA
lt-en	61.2	59.7	49.1	53.0	55.8	NA	58.5	NA
ro-en	74.7	75.0	61.8	73.5	75.7	61.6	79.5	NA
mean	66.2	65.9	53.9	64.4	64.6	57.8	68.8	NA
