lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	81.0	84.6	80.8	72.3	75.0	66.1	77.0	NA
en-de	79.2	82.5	78.1	75.3	77.1	69.7	80.2	NA
en-fi	79.6	81.3	78.8	75.7	79.0	NA	81.5	NA
en-fr	81.2	85.5	77.4	75.1	77.5	69.8	81.8	NA
en-lt	49.6	46.0	65.4	52.0	45.3	NA	45.0	NA
en-ro	80.6	85.1	77.9	75.8	77.0	68.0	81.2	NA
en-ta	NA	NA	51.9	48.5	36.3	31.2	40.2	NA
cs-en	83.6	84.2	81.8	78.0	79.5	66.8	81.9	NA
fr-en	83.5	86.3	81.2	79.8	81.8	73.3	85.3	NA
lt-en	69.5	70.4	66.6	56.8	58.5	NA	59.6	NA
ro-en	82.7	85.7	81.5	79.8	80.7	66.2	84.2	NA
mean	77.1	79.2	74.7	69.9	69.8	63.9	72.5	NA
