lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	6.9	8.7	1.7	5.4	5.7	1.6	12.3	NA
en-de	8.9	10.5	3.3	10.7	12.6	4.4	19.2	NA
en-fi	4.6	3.1	1.5	2.9	6.0	NA	10.0	NA
en-fr	11.7	14.1	6.6	9.5	12.7	3.1	24.7	NA
en-lt	2.2	2.6	0.7	0.6	0.7	NA	1.2	NA
en-ro	10.2	11.0	2.2	11.1	14.0	2.4	19.3	NA
en-ta	NA	NA	0.2	0.6	0.9	0.0	0.1	NA
cs-en	16.3	17.2	3.2	23.0	19.1	5.3	24.7	8.3
fr-en	13.0	17.3	8.6	14.0	20.3	7.8	18.3	9.0
lt-en	6.2	7.4	1.2	2.9	4.8	NA	6.0	4.1
ro-en	14.6	18.2	3.2	20.3	17.7	5.2	19.3	11.5
mean	9.5	11.0	2.9	9.2	10.4	3.7	14.1	8.2
