modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	mean	17.7	21.3	15.8	13.8	15.7	8.7	17.1	20.4
xglm-label-trim	mean	21.9	25.1	20.1	15.3	17.5	10.1	18.6	17.4
xglm-keywords10-seen500-trim	mean	22.8	25.4	18.2	15.3	18.0	8.9	19.1	NA
xglm-topic3shot-seen500-trim	mean	25.5	27.7	23.0	16.0	18.1	8.9	19.6	NA
xglm-rand-label-trim	mean	21.3	24.0	19.4	14.7	17.2	8.7	18.4	17.3
verbose-base-trim	mean	20.0	22.0	16.2	11.4	15.2	8.1	16.8	17.1
xglm-keywords30-seen500-trim	mean	22.8	25.3	17.1	15.2	18.2	8.7	19.2	NA
xglm-rand-keywords10-seen500-trim	mean	22.0	25.0	17.7	15.4	17.9	8.7	18.9	NA
xglm-rand-keywords10-seen-all-trim	mean	22.4	25.0	18.8	15.3	18.1	9.0	19.2	NA
xglm-rand-topic3shot-seen500-trim	mean	25.5	27.7	23.0	16.0	18.1	8.9	19.6	NA
xglm-rand-3shot-seen-all-trim	mean	12.9	14.0	13.8	8.2	9.7	4.3	10.0	NA
xglm-bm25-3shot-seen-all-trim	mean	12.4	13.2	13.1	7.2	8.7	4.2	9.4	NA
xglm-sentsim-3shot-seen-all-trim	mean	13.7	15.4	14.7	7.7	9.3	4.5	9.8	NA
xglm-topic1shot-seen500-trim	mean	23.5	26.4	21.0	15.1	17.7	8.9	18.6	NA
xglm-topic5shot-seen500-trim	mean	26.2	28.3	23.2	16.2	18.4	8.8	19.4	NA
xglm-topic3shot-seen200-trim	mean	25.7	26.7	21.6	15.3	18.1	8.8	19.0	24.3
xglm-topic3shot-seen1000-trim	mean	25.9	28.1	22.6	15.5	18.3	8.7	19.0	NA
xglm-bm25-3shot-langs-trim	mean	34.9	35.9	30.0	17.2	21.5	22.7	22.8	NA
xglm-sentsim-3shot-langs-trim	mean	33.6	34.5	27.2	17.0	21.0	18.4	21.9	NA
xglm-topic3shot-lang500-trim	mean	26.8	29.3	23.6	16.2	19.4	10.9	20.2	NA
xglm-topic3shot-domain200-trim	mean	26.5	28.3	23.5	16.0	18.7	10.6	20.2	NA
xglm-domain3shot-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	mean	24.8	26.4	22.5	16.3	19.1	7.4	20.1	NA
xglm-rand-topic3shot-seen200-trim	mean	23.4	25.2	19.8	14.7	17.4	8.8	18.8	20.0
