lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	83.6	91.0	73.4	84.2	88.6	93.4	90.2	NA
en-de	83.8	92.4	71.8	93.8	92.6	95.4	94.2	NA
en-fi	76.6	83.2	72.4	88.2	87.6	NA	93.0	NA
en-fr	86.4	92.6	78.8	90.8	89.8	95.2	94.0	NA
en-lt	73.4	88.0	74.8	85.4	85.6	NA	87.4	NA
en-ro	85.4	96.0	72.8	89.8	94.4	96.2	94.8	NA
en-ta	NA	NA	76.4	94.0	73.0	94.8	93.6	NA
cs-en	0.6	4.2	5.4	4.8	2.6	0.6	2.2	NA
fr-en	2.8	3.8	3.6	6.2	4.0	1.6	3.0	NA
lt-en	1.0	0.4	2.4	4.0	1.0	NA	1.2	NA
ro-en	0.8	2.6	3.0	2.2	2.4	0.6	2.2	NA
mean	49.4	55.4	48.6	58.5	56.5	59.7	59.6	NA
