lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	74.1	81.0	72.0	72.3	70.9	65.6	75.1	73.9
en-de	76.2	80.6	73.8	75.9	77.1	70.4	79.8	83.2
en-fi	72.1	77.3	70.9	75.0	76.4	NA	78.3	73.3
en-fr	79.2	83.7	73.7	75.2	76.7	69.7	81.2	84.7
en-lt	49.7	45.5	60.1	51.7	46.8	NA	44.0	59.2
en-ro	73.9	84.2	71.2	74.9	75.2	67.2	79.6	76.6
en-ta	NA	NA	49.3	47.9	38.5	29.3	39.6	43.4
cs-en	83.1	82.4	81.3	77.4	79.0	68.6	81.9	NA
fr-en	83.1	85.1	80.7	79.7	81.8	73.9	85.3	NA
lt-en	65.5	65.0	63.4	54.2	58.1	NA	59.7	NA
ro-en	82.1	84.0	80.0	79.3	80.3	68.1	84.4	NA
mean	73.9	76.9	70.6	69.4	69.2	64.1	71.7	70.6
