modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-de	67.2	76.0	64.8	94.8	89.2	97.0	93.0	73.2
xglm-label-trim	en-de	87.4	96.8	73.8	97.6	96.0	99.2	96.6	83.0
xglm-keywords10-seen500-trim	en-de	93.0	98.0	84.8	99.2	97.4	98.6	99.0	NA
xglm-topic3shot-seen500-trim	en-de	97.4	99.8	93.8	99.6	99.0	99.8	99.6	NA
xglm-rand-label-trim	en-de	83.6	96.2	73.2	97.0	96.0	98.4	97.8	84.0
verbose-base-trim	en-de	96.8	98.2	94.0	98.0	97.4	98.6	98.8	97.2
xglm-keywords30-seen500-trim	en-de	93.4	98.8	86.4	98.4	97.8	98.6	99.0	NA
xglm-rand-keywords10-seen500-trim	en-de	90.4	98.6	84.0	98.8	97.8	99.0	98.4	NA
xglm-rand-keywords10-seen-all-trim	en-de	89.4	98.0	84.0	99.2	98.0	99.2	99.2	NA
xglm-rand-topic3shot-seen500-trim	en-de	97.4	99.8	94.0	99.6	99.0	99.8	99.6	NA
xglm-rand-3shot-seen-all-trim	en-de	83.8	93.8	72.2	93.8	92.6	96.0	94.2	NA
xglm-bm25-3shot-seen-all-trim	en-de	82.0	92.2	73.0	88.2	89.4	90.8	92.4	NA
xglm-sentsim-3shot-seen-all-trim	en-de	77.6	93.6	76.6	92.2	89.6	92.8	92.6	NA
xglm-topic1shot-seen500-trim	en-de	96.0	99.6	93.6	98.0	97.6	99.2	99.0	NA
xglm-topic5shot-seen500-trim	en-de	97.4	100.0	93.6	99.0	98.8	99.8	99.6	NA
xglm-topic3shot-seen200-trim	en-de	97.0	99.8	92.8	99.6	98.6	99.4	99.4	96.6
xglm-topic3shot-seen1000-trim	en-de	97.4	99.6	92.6	99.2	99.0	99.8	99.0	NA
xglm-bm25-3shot-langs-trim	en-de	98.6	100.0	94.4	98.4	99.0	99.6	99.6	NA
xglm-sentsim-3shot-langs-trim	en-de	97.4	100.0	94.8	98.0	98.6	99.8	99.8	NA
xglm-topic3shot-lang500-trim	en-de	97.6	100.0	93.6	98.8	98.8	99.2	99.8	NA
xglm-topic3shot-domain200-trim	en-de	97.4	98.8	93.4	99.0	98.6	99.0	99.6	NA
xglm-domain3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-de	97.8	99.8	92.8	99.0	98.6	99.4	99.6	NA
xglm-rand-topic3shot-seen200-trim	en-de	97.8	99.6	92.2	98.6	97.6	99.4	99.2	96.4
