lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	30.1	52.4	50.7	10.2	23.3	35.7	16.2	NA
en-de	34.6	62.2	58.4	12.1	21.6	34.5	18.1	NA
en-fi	27.6	45.7	55.5	12.0	20.5	NA	14.0	NA
en-fr	39.9	65.4	68.0	19.7	32.0	50.5	21.9	NA
en-lt	28.9	49.7	40.5	11.1	26.9	NA	24.1	NA
en-ro	32.3	50.9	50.0	10.3	18.7	30.5	18.1	NA
en-ta	NA	NA	30.6	12.5	32.6	25.1	18.5	NA
cs-en	30.7	54.3	41.1	9.9	17.0	NA	18.2	NA
fr-en	31.6	56.4	48.8	17.4	22.1	NA	25.9	NA
lt-en	27.0	52.7	37.3	11.1	20.4	NA	19.6	NA
ro-en	30.6	51.6	46.2	12.6	20.2	NA	23.3	NA
mean	31.3	54.1	47.9	12.6	23.2	35.3	19.8	NA
