lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.9	27.5	10.9	7.5	12.7	18.2	15.2	NA
en-de	17.1	27.9	13.4	8.0	15.2	19.2	17.5	NA
en-fi	14.4	19.2	10.7	8.2	11.9	NA	13.4	NA
en-fr	21.9	31.1	20.2	8.8	16.3	18.4	18.1	NA
en-lt	19.0	33.0	10.1	8.5	22.5	NA	24.4	NA
en-ro	19.0	28.3	8.9	8.0	13.9	17.9	16.6	NA
en-ta	NA	NA	9.8	11.0	22.6	22.0	18.5	NA
cs-en	21.3	35.9	13.6	7.7	14.5	NA	16.8	NA
fr-en	19.4	34.1	19.4	8.5	15.9	NA	17.1	NA
lt-en	19.1	36.8	12.0	7.6	16.0	NA	16.2	NA
ro-en	19.9	31.8	13.2	8.2	14.6	NA	16.2	NA
mean	18.9	30.6	12.9	8.4	16.0	19.1	17.3	NA
