lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	7.5	9.1	1.9	6.7	6.6	1.8	10.7	4.1
en-de	9.1	11.1	3.3	11.0	13.3	4.6	18.5	4.9
en-fi	4.6	3.2	1.5	3.5	6.1	NA	11.4	2.7
en-fr	12.3	14.6	6.9	10.5	13.7	3.4	21.8	7.1
en-lt	2.2	2.6	0.7	1.1	0.7	NA	1.2	1.5
en-ro	9.3	11.3	1.8	9.5	13.3	2.6	15.9	6.8
en-ta	NA	NA	0.1	0.5	0.9	0.0	0.2	1.0
cs-en	15.4	17.8	3.0	15.8	18.4	5.9	20.4	NA
fr-en	15.8	18.5	8.3	8.6	15.6	7.6	16.6	NA
lt-en	6.4	7.7	1.2	1.8	4.4	NA	6.5	NA
ro-en	18.8	20.0	3.2	18.2	17.8	5.2	20.6	NA
mean	10.1	11.6	2.9	7.9	10.1	3.9	13.1	4.0
