lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	41.4	79.8	59.8	82.8	78.4	90.0	83.4	52.2
en-de	67.2	76.0	64.8	94.8	89.2	97.0	93.0	73.2
en-fi	22.2	61.0	36.2	65.4	57.6	NA	58.0	33.0
en-fr	62.8	81.4	64.4	80.4	79.6	94.0	88.4	68.2
en-lt	19.0	59.4	43.2	72.8	56.2	NA	57.8	34.2
en-ro	41.0	82.8	56.4	86.0	85.6	96.6	85.2	55.2
en-ta	NA	NA	51.0	79.4	43.4	87.4	79.8	60.6
cs-en	96.6	97.8	94.0	98.0	99.2	99.4	99.6	91.2
fr-en	96.8	98.4	96.2	99.2	99.2	99.6	99.8	97.2
lt-en	91.2	94.8	89.4	94.6	96.4	NA	96.0	79.4
ro-en	96.6	98.6	93.4	97.4	98.6	99.6	99.6	92.6
mean	63.5	83.0	68.1	86.4	80.3	95.5	85.5	67.0
