lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.3	21.2	22.5	10.5	12.5	3.7	12.5	NA
en-de	23.3	25.5	20.4	17.2	20.7	11.3	21.7	NA
en-fi	12.2	11.6	18.2	6.1	11.6	NA	12.3	NA
en-fr	30.6	37.0	33.5	22.0	28.3	11.2	29.2	NA
en-lt	7.0	7.3	11.9	1.9	1.3	NA	1.4	NA
en-ro	24.0	25.1	21.9	15.7	17.0	4.8	20.1	NA
en-ta	NA	NA	1.7	1.1	0.9	0.0	0.1	NA
cs-en	5.5	6.1	8.3	3.0	1.8	1.6	1.5	NA
fr-en	6.5	6.9	8.0	2.8	3.8	1.3	4.3	NA
lt-en	4.5	3.8	5.1	0.7	1.2	NA	0.9	NA
ro-en	5.8	5.1	6.6	2.2	3.0	1.0	2.3	NA
mean	13.7	15.0	14.4	7.6	9.3	4.4	9.7	NA
