lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.6	81.5	71.1	67.6	70.6	65.6	74.0	NA
en-de	74.1	78.3	69.5	70.6	73.0	68.8	76.6	NA
en-fi	75.5	77.4	68.7	70.8	74.4	NA	77.9	NA
en-fr	76.4	82.1	70.4	71.9	74.4	69.8	78.9	NA
en-lt	46.6	45.0	56.4	48.0	43.9	NA	42.7	NA
en-ro	74.8	82.2	68.1	70.9	73.0	66.8	77.4	NA
en-ta	NA	NA	46.3	47.4	38.1	33.6	39.8	NA
cs-en	78.4	80.2	69.4	71.8	74.4	NA	77.8	NA
fr-en	78.2	81.9	72.0	73.6	77.0	NA	81.1	NA
lt-en	62.3	64.5	55.2	53.4	56.0	NA	58.8	NA
ro-en	77.7	81.3	69.0	73.8	76.2	NA	80.9	NA
mean	72.1	75.4	65.1	65.4	66.5	60.9	69.6	NA
