modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	fr-en	37.2	40.2	34.9	27.6	34.9	16.8	34.2	42.3
xglm-label-trim	fr-en	39.2	43.4	37.3	28.8	35.9	18.3	35.6	NA
xglm-keywords10-seen500-trim	fr-en	38.8	42.0	35.1	28.2	36.1	16.5	35.1	NA
xglm-topic3shot-seen500-trim	fr-en	41.7	46.4	39.7	29.7	35.7	16.7	35.4	NA
xglm-rand-label-trim	fr-en	38.5	41.0	37.8	28.1	35.6	16.3	34.8	NA
verbose-base-trim	fr-en	33.1	37.6	31.6	22.9	31.2	15.2	31.2	NA
xglm-keywords30-seen500-trim	fr-en	37.6	41.3	34.4	28.4	35.6	16.4	34.9	NA
xglm-rand-keywords10-seen500-trim	fr-en	38.6	41.9	33.9	28.3	35.8	16.2	35.3	NA
xglm-rand-keywords10-seen-all-trim	fr-en	37.9	42.4	31.4	28.0	35.9	17.0	35.1	NA
xglm-rand-topic3shot-seen500-trim	fr-en	41.7	46.4	39.8	29.7	35.7	16.6	35.5	NA
xglm-rand-3shot-seen-all-trim	fr-en	6.3	6.6	7.1	3.7	2.8	0.5	2.7	NA
xglm-bm25-3shot-seen-all-trim	fr-en	5.7	5.2	6.4	1.9	2.0	0.1	1.6	NA
xglm-sentsim-3shot-seen-all-trim	fr-en	6.4	6.9	8.0	2.8	3.8	1.3	4.3	NA
xglm-topic1shot-seen500-trim	fr-en	37.6	44.6	36.7	28.7	35.8	16.5	35.3	NA
xglm-topic5shot-seen500-trim	fr-en	42.4	47.9	40.5	29.5	35.9	16.2	35.6	NA
xglm-topic3shot-seen200-trim	fr-en	41.8	45.1	40.1	28.8	35.0	17.1	34.9	42.0
xglm-topic3shot-seen1000-trim	fr-en	41.4	46.8	40.0	29.2	35.2	15.6	35.1	NA
xglm-bm25-3shot-langs-trim	fr-en	47.3	50.3	45.2	29.3	36.0	17.7	36.8	NA
xglm-sentsim-3shot-langs-trim	fr-en	46.8	49.6	43.0	28.7	36.4	18.0	36.5	NA
xglm-topic3shot-lang500-trim	fr-en	41.6	47.5	39.8	29.1	35.9	18.4	35.6	NA
xglm-topic3shot-domain200-trim	fr-en	41.9	47.3	40.1	30.0	36.4	18.4	36.7	NA
xglm-domain3shot-all-trim	fr-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	fr-en	39.2	42.6	38.8	28.8	36.4	NA	35.4	NA
xglm-rand-topic3shot-seen200-trim	fr-en	38.5	42.6	37.6	27.6	35.3	17.1	34.9	NA
