lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.1	19.6	19.7	11.6	11.6	4.3	14.2	18.2
en-de	21.8	24.1	18.1	17.4	21.7	12.1	22.5	26.1
en-fi	11.3	7.5	15.5	6.5	11.5	NA	11.8	13.5
en-fr	28.9	34.1	32.6	23.8	27.9	12.5	30.5	34.5
en-lt	4.3	4.4	4.1	1.0	1.1	NA	1.4	5.6
en-ro	22.6	23.6	16.7	16.2	18.1	5.2	21.5	24.8
en-ta	NA	NA	0.6	0.8	0.5	0.0	0.1	1.8
cs-en	30.6	30.7	12.7	19.4	21.9	9.2	26.4	NA
fr-en	32.3	36.5	25.6	27.4	33.3	17.1	33.3	NA
lt-en	8.2	11.5	2.0	1.5	4.1	NA	5.4	NA
ro-en	31.1	35.3	12.7	27.9	29.5	9.2	33.2	NA
mean	20.8	22.7	14.6	14.0	16.5	8.7	18.2	17.8
