lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	29.6	28.9	27.8	13.0	16.1	19.0	16.6	NA
en-de	30.6	32.8	24.9	17.8	24.8	23.2	23.0	NA
en-fi	21.1	22.8	23.6	8.4	19.3	NA	16.6	NA
en-fr	38.3	42.7	36.9	23.0	29.1	31.4	32.0	NA
en-lt	12.4	12.3	17.4	2.5	5.7	NA	6.2	NA
en-ro	35.2	34.2	28.0	19.8	19.3	24.8	23.3	NA
en-ta	NA	NA	1.5	2.3	2.0	0.5	0.2	NA
cs-en	45.2	43.2	36.8	26.7	28.2	16.4	30.0	NA
fr-en	46.8	49.6	43.0	28.7	36.4	18.0	36.5	NA
lt-en	28.3	28.2	23.6	10.9	17.3	NA	18.9	NA
ro-en	48.4	49.9	35.7	33.6	32.8	13.9	37.8	NA
mean	33.6	34.5	27.2	17.0	21.0	18.4	21.9	NA
