lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.7	NA	NA	12.1	12.6	3.9	14.7	NA
en-de	21.0	NA	20.2	18.2	21.0	11.2	21.5	NA
en-fi	11.5	NA	9.9	6.0	11.7	NA	11.7	NA
en-fr	27.0	NA	NA	22.2	28.2	12.0	31.6	NA
en-lt	5.2	NA	NA	1.0	1.1	NA	1.5	NA
en-ro	23.0	NA	NA	15.0	17.4	5.0	22.0	NA
en-ta	NA	NA	NA	0.8	0.5	0.0	0.1	NA
cs-en	35.7	NA	NA	26.2	25.4	NA	27.7	NA
fr-en	41.6	NA	NA	28.2	35.0	NA	34.3	NA
lt-en	17.2	NA	13.7	5.2	7.8	NA	8.7	NA
ro-en	41.6	NA	NA	30.9	30.7	NA	34.6	NA
mean	24.1	NA	14.6	15.1	17.4	6.4	18.9	NA
