modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-fi	65.4	68.8	68.4	70.3	70.3	NA	71.3	70.2
xglm-label-trim	en-fi	72.1	77.3	70.9	75.0	76.4	NA	78.3	73.3
xglm-keywords10-seen500-trim	en-fi	75.5	79.5	73.8	73.8	76.8	NA	80.5	NA
xglm-topic3shot-seen500-trim	en-fi	79.3	82.5	78.3	76.0	78.5	NA	81.5	NA
xglm-rand-label-trim	en-fi	72.0	77.6	71.4	74.2	75.7	NA	79.2	72.9
verbose-base-trim	en-fi	77.8	79.6	73.5	75.6	78.2	NA	80.9	75.6
xglm-keywords30-seen500-trim	en-fi	75.9	79.2	73.0	74.3	77.0	NA	80.7	NA
xglm-rand-keywords10-seen500-trim	en-fi	73.9	79.3	72.8	74.2	77.2	NA	80.4	NA
xglm-rand-keywords10-seen-all-trim	en-fi	73.4	79.3	74.0	75.2	77.2	NA	80.9	NA
xglm-rand-topic3shot-seen500-trim	en-fi	79.3	82.6	78.2	76.1	78.5	NA	81.4	NA
xglm-rand-3shot-seen-all-trim	en-fi	76.4	77.8	76.7	75.0	78.2	NA	80.5	NA
xglm-bm25-3shot-seen-all-trim	en-fi	75.0	76.9	75.0	74.0	75.7	NA	79.0	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	76.3	78.1	77.0	74.5	77.5	NA	80.0	NA
xglm-topic1shot-seen500-trim	en-fi	76.1	81.4	75.8	74.7	77.4	NA	79.7	NA
xglm-topic5shot-seen500-trim	en-fi	79.7	82.6	79.0	77.3	79.0	NA	81.5	NA
xglm-topic3shot-seen200-trim	en-fi	79.4	82.4	77.3	76.0	79.0	NA	80.8	77.0
xglm-topic3shot-seen1000-trim	en-fi	79.7	82.3	78.3	75.9	78.8	NA	80.8	NA
xglm-bm25-3shot-langs-trim	en-fi	83.2	87.4	81.7	77.9	80.9	NA	82.8	NA
xglm-sentsim-3shot-langs-trim	en-fi	82.3	86.7	80.7	76.9	81.3	NA	82.5	NA
xglm-topic3shot-lang500-trim	en-fi	80.4	82.6	79.4	77.1	79.6	NA	81.8	NA
xglm-topic3shot-domain200-trim	en-fi	79.4	83.2	78.5	76.1	78.4	NA	81.8	NA
xglm-domain3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fi	80.7	81.0	78.8	76.9	79.8	NA	82.3	NA
xglm-rand-topic3shot-seen200-trim	en-fi	78.6	80.1	77.4	75.4	78.3	NA	80.2	77.9
