lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	7.6	11.3	6.1	9.0	6.4	3.1	12.3	4.7
en-de	11.5	15.0	8.5	17.0	15.3	9.0	20.2	9.0
en-fi	4.8	4.3	5.0	6.0	6.9	NA	10.2	3.1
en-fr	15.4	23.1	17.4	18.7	20.7	6.1	28.3	13.1
en-lt	2.6	3.3	2.3	1.0	0.7	NA	1.1	2.1
en-ro	10.5	15.4	5.9	12.5	13.1	3.8	20.3	9.7
en-ta	NA	NA	0.4	0.6	0.9	0.0	0.1	1.1
cs-en	28.9	33.8	15.7	26.1	26.2	12.5	28.1	NA
fr-en	32.6	41.2	27.3	28.6	32.6	17.7	35.5	NA
lt-en	10.4	13.0	6.5	5.1	8.3	NA	8.7	NA
ro-en	32.5	39.6	17.1	31.7	30.4	12.2	34.6	NA
mean	15.7	20.0	10.2	14.2	14.7	8.1	18.1	6.1
