lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.0	22.1	22.0	11.3	12.2	4.0	14.2	NA
en-de	22.4	27.0	NA	NA	NA	NA	NA	NA
en-fi	NA	NA	16.5	6.4	11.4	NA	12.2	NA
en-fr	30.0	34.5	32.7	23.3	28.9	12.7	30.4	NA
en-lt	3.3	4.0	5.0	0.8	0.8	NA	1.2	NA
en-ro	21.1	24.5	18.2	14.4	17.2	5.6	20.9	NA
en-ta	NA	NA	0.3	0.6	0.5	NA	NA	NA
cs-en	32.2	NA	NA	NA	26.8	NA	28.1	NA
fr-en	38.3	NA	NA	NA	NA	NA	NA	NA
lt-en	13.0	15.1	NA	NA	NA	NA	10.7	NA
ro-en	NA	39.9	29.6	32.4	31.5	NA	35.7	NA
mean	22.0	23.9	17.8	12.7	16.2	7.4	19.2	NA
