lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.2	21.5	24.0	11.2	13.8	4.3	14.5	NA
en-de	25.5	27.9	21.3	18.7	22.0	11.8	23.2	NA
en-fi	12.2	8.8	21.6	6.6	13.5	NA	12.6	NA
en-fr	31.3	35.7	34.9	23.3	29.7	12.6	31.2	NA
en-lt	4.9	4.4	7.0	1.3	1.2	NA	1.4	NA
en-ro	25.7	24.5	23.0	15.9	18.2	5.6	22.0	NA
en-ta	NA	NA	0.9	0.7	0.3	0.0	0.1	NA
cs-en	35.7	40.0	33.5	26.2	26.1	10.1	27.7	NA
fr-en	40.3	46.5	38.3	29.5	36.0	16.5	35.5	NA
lt-en	15.3	19.7	13.0	6.1	7.8	NA	8.8	NA
ro-en	41.5	44.7	34.2	32.2	31.0	9.8	35.3	NA
mean	25.1	27.4	22.9	15.6	18.1	8.8	19.3	NA
