lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.1	21.6	22.2	13.0	14.5	4.4	13.3	NA
en-de	23.0	25.8	19.3	18.1	21.6	11.8	23.3	NA
en-fi	11.6	7.6	19.3	7.4	12.4	NA	12.6	NA
en-fr	30.3	34.6	33.1	23.6	28.4	12.2	29.9	NA
en-lt	4.9	4.8	7.8	1.1	1.3	NA	1.8	NA
en-ro	20.9	24.0	20.9	16.0	18.7	5.1	20.8	NA
en-ta	NA	NA	1.4	1.0	0.8	0.0	0.2	NA
cs-en	5.3	6.3	8.1	3.4	1.9	0.2	1.4	NA
fr-en	6.3	6.6	7.1	3.7	2.8	0.5	2.7	NA
lt-en	4.4	3.5	5.1	0.8	1.2	NA	0.9	NA
ro-en	5.8	5.5	7.0	2.3	2.6	0.1	2.8	NA
mean	12.9	14.0	13.8	8.2	9.7	4.3	10.0	NA
