lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.1	24.8	8.0	7.8	12.4	16.4	15.7	14.7
en-de	15.7	26.9	11.7	7.8	14.0	16.9	16.5	11.2
en-fi	14.4	19.2	7.1	7.2	11.2	NA	12.3	15.6
en-fr	18.3	28.4	14.7	8.6	16.0	17.3	17.9	12.3
en-lt	17.5	33.8	6.8	8.8	23.1	NA	21.5	15.0
en-ro	18.3	27.2	7.3	8.1	14.0	17.7	16.3	18.3
en-ta	NA	NA	12.0	11.7	23.5	23.1	19.6	17.5
cs-en	18.5	32.2	8.2	7.7	12.9	NA	15.9	17.7
fr-en	17.1	30.5	15.6	7.9	14.5	NA	16.7	12.6
lt-en	18.5	34.6	8.5	6.5	14.8	NA	16.7	17.3
ro-en	18.3	29.9	8.7	7.9	14.3	NA	15.9	19.4
mean	17.3	28.8	9.9	8.2	15.5	18.3	16.8	15.6
