lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	17.4	20.3	14.3	10.5	12.4	4.0	15.4	19.1
en-de	23.7	25.9	18.2	16.8	23.1	9.6	22.9	24.9
en-fi	13.3	9.1	11.8	7.3	12.4	NA	14.1	12.4
en-fr	30.5	35.8	28.8	21.5	28.4	9.7	30.1	37.2
en-lt	5.9	5.6	4.7	1.2	1.1	NA	1.6	6.2
en-ro	24.1	25.4	18.9	15.8	17.4	5.4	21.2	22.0
en-ta	NA	NA	0.9	1.0	1.2	0.4	0.2	2.1
cs-en	30.0	28.4	14.7	25.6	25.4	NA	28.4	NA
fr-en	29.0	39.3	25.6	27.4	31.7	NA	34.1	NA
lt-en	11.4	12.7	4.4	4.3	7.1	NA	8.7	NA
ro-en	32.9	39.0	14.8	28.0	30.7	NA	35.2	NA
mean	21.8	24.1	14.3	14.5	17.4	5.8	19.3	17.7
