lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	34.9	57.3	61.8	13.8	26.1	46.0	16.9	NA
en-de	39.0	64.1	60.9	12.4	23.4	47.8	19.0	NA
en-fi	30.0	46.9	58.3	13.9	19.9	NA	14.8	NA
en-fr	44.8	69.9	69.6	18.0	33.1	62.6	21.8	NA
en-lt	30.6	51.6	44.9	13.7	28.3	NA	25.8	NA
en-ro	35.2	57.1	52.3	11.6	18.1	35.6	17.3	NA
en-ta	NA	NA	27.8	13.0	38.5	23.1	18.5	NA
cs-en	33.0	60.4	49.0	8.3	17.0	NA	18.7	52.5
fr-en	41.4	64.5	50.6	12.6	22.4	NA	26.5	42.1
lt-en	33.5	66.8	45.4	10.7	23.3	NA	23.0	45.5
ro-en	39.3	59.5	48.7	10.9	21.5	NA	25.6	50.7
mean	36.2	59.8	51.8	12.6	24.7	43.0	20.7	47.7
