lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	66.2	71.0	57.8	65.9	65.4	63.4	70.9	59.2
en-de	68.0	70.5	60.0	70.1	71.9	66.9	76.2	70.1
en-fi	65.7	68.6	55.5	68.3	70.2	NA	75.7	57.8
en-fr	70.7	74.2	61.0	70.3	71.9	65.0	78.3	68.9
en-lt	45.1	41.8	47.8	47.4	43.9	NA	43.8	47.1
en-ro	64.6	73.7	55.5	68.2	70.7	64.1	76.2	63.5
en-ta	NA	NA	39.4	45.3	37.3	32.2	39.2	38.8
cs-en	77.3	77.7	66.9	71.5	73.8	64.3	77.6	NA
fr-en	77.0	80.3	69.9	73.6	76.6	70.4	80.9	NA
lt-en	60.1	60.3	52.4	51.5	54.7	NA	56.8	NA
ro-en	76.5	79.8	66.5	73.5	76.0	64.7	79.7	NA
mean	67.1	69.8	57.5	64.1	64.8	61.4	68.7	57.9
