lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	16.2	25.9	6.9	7.0	12.3	16.8	14.6	NA
en-de	16.3	28.3	11.7	7.7	13.7	16.8	16.4	NA
en-fi	13.7	18.2	6.2	7.1	11.3	NA	12.3	NA
en-fr	19.9	29.4	14.6	8.8	16.0	17.1	18.0	NA
en-lt	16.9	29.7	6.6	9.9	23.6	NA	23.1	NA
en-ro	18.9	27.5	6.8	8.0	13.8	17.2	16.6	NA
en-ta	NA	NA	7.3	10.4	21.8	22.3	17.4	NA
cs-en	17.9	30.6	7.2	7.5	12.9	NA	15.7	NA
fr-en	16.6	29.7	14.5	7.6	14.3	NA	16.5	NA
lt-en	16.9	30.8	6.8	7.0	14.8	NA	16.0	NA
ro-en	18.2	29.4	7.3	7.8	14.0	NA	15.9	NA
mean	17.1	27.9	8.7	8.1	15.3	18.0	16.6	NA
