lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	96.6	99.0	90.0	91.4	95.2	98.8	98.6	NA
en-de	96.6	99.4	93.2	99.2	98.8	99.0	99.6	NA
en-fi	95.6	98.4	90.4	95.0	97.6	NA	99.0	NA
en-fr	96.6	98.8	90.8	94.4	97.4	99.4	99.0	NA
en-lt	93.8	97.8	87.6	91.6	94.6	NA	95.2	NA
en-ro	98.0	100.0	86.8	93.8	97.2	99.8	99.0	NA
en-ta	NA	NA	92.4	97.8	94.8	99.4	98.6	NA
cs-en	97.2	99.6	94.8	97.6	99.4	NA	99.8	NA
fr-en	98.0	99.6	94.8	98.4	99.4	NA	99.6	NA
lt-en	94.0	98.6	90.8	96.8	96.6	NA	97.4	NA
ro-en	98.4	99.8	91.4	97.2	99.2	NA	99.4	NA
mean	96.5	99.1	91.2	95.7	97.3	99.3	98.7	NA
