lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.5	21.7	19.1	11.6	13.8	4.6	14.0	NA
en-de	23.5	26.3	20.2	18.5	22.5	12.3	22.2	NA
en-fi	10.2	7.9	18.6	6.4	11.2	NA	14.2	NA
en-fr	30.0	35.0	32.6	23.5	30.5	12.8	31.0	NA
en-lt	2.9	3.9	4.7	1.1	1.1	NA	1.5	NA
en-ro	19.5	23.6	19.3	15.9	17.8	5.0	20.2	NA
en-ta	NA	NA	0.4	0.6	0.5	0.0	0.2	NA
cs-en	33.0	36.0	27.5	25.1	26.7	10.2	27.9	NA
fr-en	37.9	42.4	31.4	28.0	35.9	17.0	35.1	NA
lt-en	12.5	13.6	7.1	5.7	7.6	NA	9.7	NA
ro-en	38.9	39.8	25.9	32.0	31.3	10.0	35.2	NA
mean	22.4	25.0	18.8	15.3	18.1	9.0	19.2	NA
