lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	88.6	97.2	78.2	87.4	92.8	97.0	96.2	NA
en-de	93.4	98.8	86.4	98.4	97.8	98.6	99.0	NA
en-fi	83.8	95.6	73.4	93.2	91.4	NA	96.8	NA
en-fr	93.4	97.6	82.8	95.0	95.4	99.0	98.6	NA
en-lt	78.4	92.8	71.2	88.6	89.0	NA	90.2	NA
en-ro	90.6	99.2	76.8	93.2	96.2	98.6	99.0	NA
en-ta	NA	NA	81.8	94.8	68.0	98.4	96.6	NA
cs-en	96.4	97.0	87.6	98.2	99.6	99.6	99.8	NA
fr-en	96.4	98.6	93.4	98.8	99.6	99.8	99.6	NA
lt-en	89.0	95.4	81.8	95.2	97.8	NA	97.6	NA
ro-en	96.2	99.4	83.6	98.4	99.0	99.6	99.6	NA
mean	90.6	97.2	81.5	94.7	93.3	98.8	97.5	NA
