lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.1	22.1	15.6	11.3	NA	NA	NA	NA
en-de	22.0	25.0	20.0	18.2	NA	NA	NA	NA
en-fi	12.5	9.7	12.2	6.7	NA	NA	NA	NA
en-fr	30.0	36.6	35.0	22.8	NA	NA	NA	NA
en-lt	5.1	5.8	5.2	0.8	NA	NA	NA	NA
en-ro	24.1	26.8	23.4	16.0	NA	NA	NA	NA
en-ta	NA	NA	1.0	0.9	NA	NA	NA	NA
cs-en	39.8	40.3	29.2	27.3	NA	NA	NA	NA
fr-en	42.6	47.4	35.9	29.8	NA	NA	NA	NA
lt-en	18.3	20.2	14.7	5.7	NA	NA	NA	NA
ro-en	42.2	45.3	33.4	34.1	NA	NA	NA	NA
mean	25.5	27.9	20.5	15.8	NA	NA	NA	NA
