modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	ro-en	81.4	83.7	75.7	78.3	79.0	66.2	83.6	79.3
xglm-label-trim	ro-en	82.1	84.0	80.0	79.3	80.3	68.1	84.4	NA
xglm-keywords10-seen500-trim	ro-en	81.9	84.2	78.5	79.6	80.5	65.7	84.2	NA
xglm-topic3shot-seen500-trim	ro-en	82.6	85.4	80.9	79.3	80.1	65.3	84.3	NA
xglm-rand-label-trim	ro-en	82.0	83.6	78.8	78.8	80.2	66.2	84.0	NA
verbose-base-trim	ro-en	80.4	82.8	73.9	78.9	79.7	67.2	83.7	NA
xglm-keywords30-seen500-trim	ro-en	82.0	84.5	77.8	79.7	80.6	65.4	84.4	NA
xglm-rand-keywords10-seen500-trim	ro-en	82.1	84.2	78.6	79.7	80.2	65.4	84.3	NA
xglm-rand-keywords10-seen-all-trim	ro-en	82.3	84.1	78.5	79.6	80.5	66.4	84.5	NA
xglm-rand-topic3shot-seen500-trim	ro-en	82.6	85.4	80.9	79.2	80.1	65.3	84.3	NA
xglm-rand-3shot-seen-all-trim	ro-en	74.6	75.0	73.6	74.2	73.0	61.4	76.7	NA
xglm-bm25-3shot-seen-all-trim	ro-en	74.6	74.9	73.4	74.2	72.9	61.3	76.5	NA
xglm-sentsim-3shot-seen-all-trim	ro-en	74.6	75.0	73.5	74.0	73.1	61.7	76.4	NA
xglm-topic1shot-seen500-trim	ro-en	81.2	85.1	80.0	79.4	80.0	66.1	83.8	NA
xglm-topic5shot-seen500-trim	ro-en	82.6	85.5	81.2	79.7	80.4	65.6	84.3	NA
xglm-topic3shot-seen200-trim	ro-en	82.9	84.6	76.4	78.3	79.4	65.4	83.9	77.6
xglm-topic3shot-seen1000-trim	ro-en	83.3	85.7	80.3	79.4	80.0	65.6	83.9	NA
xglm-bm25-3shot-langs-trim	ro-en	83.9	86.2	82.8	80.3	81.2	69.3	85.5	NA
xglm-sentsim-3shot-langs-trim	ro-en	84.2	86.3	82.8	80.6	81.1	69.1	85.4	NA
xglm-topic3shot-lang500-trim	ro-en	83.2	85.8	81.2	80.2	81.1	67.3	84.5	NA
xglm-topic3shot-domain200-trim	ro-en	83.0	85.6	81.5	79.7	80.8	68.4	85.2	NA
xglm-domain3shot-all-trim	ro-en	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	ro-en	82.8	84.5	80.5	80.6	81.2	NA	84.9	NA
xglm-rand-topic3shot-seen200-trim	ro-en	80.5	82.5	75.5	76.6	78.6	65.4	83.0	NA
