lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	97.6	99.2	92.2	93.0	97.0	99.2	98.8	NA
en-de	98.0	100.0	92.6	98.8	98.4	99.4	99.6	NA
en-fi	97.2	99.0	88.8	96.2	98.6	NA	99.2	NA
en-fr	97.6	99.4	92.8	95.2	97.4	99.6	99.2	NA
en-lt	95.6	98.4	90.8	93.8	95.2	NA	97.2	NA
en-ro	97.8	99.8	89.0	94.2	98.4	99.6	99.4	NA
en-ta	NA	NA	97.6	98.2	97.2	99.8	99.4	NA
cs-en	97.8	99.4	93.4	98.0	99.8	NA	99.6	NA
fr-en	98.6	99.8	96.2	98.8	99.4	NA	99.6	NA
lt-en	96.6	98.8	86.2	96.8	99.2	NA	99.2	NA
ro-en	98.6	100.0	90.4	98.0	99.0	NA	99.8	NA
mean	97.5	99.4	91.8	96.5	98.1	99.5	99.2	NA
