lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	15.6	25.7	6.9	6.9	11.9	18.1	14.9	NA
en-de	15.7	28.8	12.4	7.9	14.3	17.6	16.7	NA
en-fi	14.1	21.1	6.6	6.8	11.7	NA	12.7	NA
en-fr	19.0	30.6	15.1	8.6	15.7	18.4	18.1	NA
en-lt	17.6	30.7	6.0	9.2	18.9	NA	21.8	NA
en-ro	18.3	27.6	7.0	8.0	14.1	17.2	16.2	NA
en-ta	NA	NA	8.1	9.9	23.4	21.2	17.5	NA
cs-en	16.3	25.0	6.6	6.5	11.1	17.1	13.8	NA
fr-en	19.3	30.1	15.7	8.1	15.2	16.7	17.6	NA
lt-en	14.0	21.1	5.6	5.1	11.4	NA	12.4	NA
ro-en	18.7	27.4	7.7	7.7	13.8	15.8	15.5	NA
mean	16.9	26.8	8.9	7.7	14.7	17.8	16.1	NA
