modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-ta	NA	NA	0.1	0.6	0.8	0.1	0.1	0.8
xglm-label-trim	en-ta	NA	NA	1.4	0.6	0.6	0.0	0.1	1.8
xglm-keywords10-seen500-trim	en-ta	NA	NA	0.5	0.8	0.5	0.1	0.1	NA
xglm-topic3shot-seen500-trim	en-ta	NA	NA	1.2	1.0	0.5	0.0	0.3	NA
xglm-rand-label-trim	en-ta	NA	NA	0.7	0.6	0.5	0.0	0.1	1.9
verbose-base-trim	en-ta	NA	NA	0.6	0.5	0.4	0.0	0.2	1.7
xglm-keywords30-seen500-trim	en-ta	NA	NA	0.6	0.5	0.5	0.0	0.2	NA
xglm-rand-keywords10-seen500-trim	en-ta	NA	NA	0.5	0.7	0.5	0.0	0.1	NA
xglm-rand-keywords10-seen-all-trim	en-ta	NA	NA	0.4	0.6	0.5	0.0	0.2	NA
xglm-rand-topic3shot-seen500-trim	en-ta	NA	NA	1.2	1.0	0.5	0.0	0.3	NA
xglm-rand-3shot-seen-all-trim	en-ta	NA	NA	1.4	1.0	0.8	0.0	0.2	NA
xglm-bm25-3shot-seen-all-trim	en-ta	NA	NA	1.4	0.9	1.1	0.0	0.2	NA
xglm-sentsim-3shot-seen-all-trim	en-ta	NA	NA	1.8	1.1	0.8	0.0	0.1	NA
xglm-topic1shot-seen500-trim	en-ta	NA	NA	0.7	0.7	0.3	0.0	0.2	NA
xglm-topic5shot-seen500-trim	en-ta	NA	NA	1.0	1.0	0.6	0.0	0.2	NA
xglm-topic3shot-seen200-trim	en-ta	NA	NA	1.3	0.6	0.5	0.0	0.1	1.8
xglm-topic3shot-seen1000-trim	en-ta	NA	NA	1.1	1.0	0.4	0.0	0.2	NA
xglm-bm25-3shot-langs-trim	en-ta	NA	NA	6.6	3.9	4.5	25.1	6.2	NA
xglm-sentsim-3shot-langs-trim	en-ta	NA	NA	1.5	2.3	2.0	0.5	0.2	NA
xglm-topic3shot-lang500-trim	en-ta	NA	NA	1.2	0.8	1.2	0.4	0.4	NA
xglm-topic3shot-domain200-trim	en-ta	NA	NA	1.3	1.0	1.2	0.4	0.3	NA
xglm-domain3shot-all-trim	en-ta	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-ta	NA	NA	1.2	0.9	0.6	0.0	0.2	NA
xglm-rand-topic3shot-seen200-trim	en-ta	NA	NA	0.6	0.8	0.4	0.0	0.1	1.7
