lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	74.2	83.2	66.8	68.6	76.2	86.4	75.4	NA
en-de	78.6	80.8	71.2	88.0	88.2	85.0	90.6	NA
en-fi	71.6	70.6	66.2	75.2	78.6	NA	85.0	NA
en-fr	77.4	81.2	73.8	88.2	88.4	86.6	90.8	NA
en-lt	63.4	78.8	63.2	75.0	72.0	NA	77.4	NA
en-ro	78.6	90.8	66.6	83.2	86.2	91.0	92.6	NA
en-ta	NA	NA	68.0	80.0	58.4	82.8	83.2	NA
cs-en	0.4	0.2	0.6	0.2	0.2	0.0	0.4	NA
fr-en	0.4	2.0	1.8	0.6	0.6	0.2	0.8	NA
lt-en	0.4	0.2	1.0	0.6	0.4	NA	1.0	NA
ro-en	0.0	0.6	1.4	1.4	1.0	0.0	1.8	NA
mean	44.5	48.8	43.7	51.0	50.0	54.0	54.5	NA
