lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	69.3	67.5	52.2	67.1	66.7	59.3	73.1	NA
en-de	67.1	64.8	54.5	69.2	70.9	63.4	76.2	NA
en-fi	68.1	65.4	50.8	68.5	71.1	NA	76.5	NA
en-fr	69.0	66.2	52.6	67.8	68.7	58.3	76.7	NA
en-lt	44.6	39.7	44.3	47.8	42.9	NA	42.0	NA
en-ro	67.7	71.2	52.1	69.2	70.8	61.0	75.5	NA
en-ta	NA	NA	38.8	45.6	37.1	31.6	39.0	NA
cs-en	74.1	69.4	56.0	69.9	71.6	NA	76.0	NA
fr-en	72.0	67.6	60.1	68.5	72.4	NA	74.9	NA
lt-en	60.0	57.7	45.6	51.5	54.4	NA	58.5	NA
ro-en	72.3	69.2	55.5	71.1	73.0	NA	75.9	NA
mean	66.4	63.9	51.1	63.3	63.6	54.7	67.7	NA
