modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base-trim	en-cs	41.4	79.8	59.8	82.8	78.4	90.0	83.4	52.2
xglm-label-trim	en-cs	76.8	90.6	56.6	89.2	84.8	97.4	94.0	58.4
xglm-keywords10-seen500-trim	en-cs	89.4	95.2	76.2	87.6	93.4	97.0	97.0	NA
xglm-topic3shot-seen500-trim	en-cs	96.0	98.2	92.0	92.0	94.8	98.2	97.6	NA
xglm-rand-label-trim	en-cs	72.2	90.4	64.2	88.2	84.2	97.8	94.0	63.0
verbose-base-trim	en-cs	94.8	98.6	89.6	93.0	96.0	97.8	98.2	88.6
xglm-keywords30-seen500-trim	en-cs	88.6	97.2	78.2	87.4	92.8	97.0	96.2	NA
xglm-rand-keywords10-seen500-trim	en-cs	85.0	95.8	71.8	92.4	92.2	97.6	97.0	NA
xglm-rand-keywords10-seen-all-trim	en-cs	83.0	95.2	75.8	90.4	94.0	98.4	97.0	NA
xglm-rand-topic3shot-seen500-trim	en-cs	96.0	98.2	92.0	92.0	94.8	98.2	97.6	NA
xglm-rand-3shot-seen-all-trim	en-cs	83.4	91.6	73.6	84.2	88.8	93.8	90.2	NA
xglm-bm25-3shot-seen-all-trim	en-cs	75.2	86.6	68.6	69.4	78.0	89.0	76.2	NA
xglm-sentsim-3shot-seen-all-trim	en-cs	70.6	87.2	72.4	78.4	85.0	91.4	84.6	NA
xglm-topic1shot-seen500-trim	en-cs	92.2	98.0	88.2	88.8	92.2	96.4	96.0	NA
xglm-topic5shot-seen500-trim	en-cs	96.4	98.8	91.6	93.4	96.0	98.4	97.6	NA
xglm-topic3shot-seen200-trim	en-cs	95.0	95.6	89.4	92.6	94.6	99.0	98.6	86.4
xglm-topic3shot-seen1000-trim	en-cs	95.2	98.6	90.8	92.6	94.6	98.6	97.6	NA
xglm-bm25-3shot-langs-trim	en-cs	97.8	98.8	94.4	92.8	97.6	99.4	99.2	NA
xglm-sentsim-3shot-langs-trim	en-cs	97.8	99.0	94.8	95.4	97.2	98.4	99.4	NA
xglm-topic3shot-lang500-trim	en-cs	97.4	99.2	91.6	93.8	96.8	98.6	98.4	NA
xglm-topic3shot-domain200-trim	en-cs	94.2	98.6	92.0	93.8	94.2	98.2	98.2	NA
xglm-domain3shot-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-cs	97.0	98.8	92.4	93.8	96.6	98.4	99.0	NA
xglm-rand-topic3shot-seen200-trim	en-cs	96.6	98.2	88.8	92.2	95.6	99.6	97.8	87.0
xglm-base-trim	en-de	67.2	76.0	64.8	94.8	89.2	97.0	93.0	73.2
xglm-label-trim	en-de	87.4	96.8	73.8	97.6	96.0	99.2	96.6	83.0
xglm-keywords10-seen500-trim	en-de	93.0	98.0	84.8	99.2	97.4	98.6	99.0	NA
xglm-topic3shot-seen500-trim	en-de	97.4	99.8	93.8	99.6	99.0	99.8	99.6	NA
xglm-rand-label-trim	en-de	83.6	96.2	73.2	97.0	96.0	98.4	97.8	84.0
verbose-base-trim	en-de	96.8	98.2	94.0	98.0	97.4	98.6	98.8	97.2
xglm-keywords30-seen500-trim	en-de	93.4	98.8	86.4	98.4	97.8	98.6	99.0	NA
xglm-rand-keywords10-seen500-trim	en-de	90.4	98.6	84.0	98.8	97.8	99.0	98.4	NA
xglm-rand-keywords10-seen-all-trim	en-de	89.4	98.0	84.0	99.2	98.0	99.2	99.2	NA
xglm-rand-topic3shot-seen500-trim	en-de	97.4	99.8	94.0	99.6	99.0	99.8	99.6	NA
xglm-rand-3shot-seen-all-trim	en-de	83.8	93.8	72.2	93.8	92.6	96.0	94.2	NA
xglm-bm25-3shot-seen-all-trim	en-de	82.0	92.2	73.0	88.2	89.4	90.8	92.4	NA
xglm-sentsim-3shot-seen-all-trim	en-de	77.6	93.6	76.6	92.2	89.6	92.8	92.6	NA
xglm-topic1shot-seen500-trim	en-de	96.0	99.6	93.6	98.0	97.6	99.2	99.0	NA
xglm-topic5shot-seen500-trim	en-de	97.4	100.0	93.6	99.0	98.8	99.8	99.6	NA
xglm-topic3shot-seen200-trim	en-de	97.0	99.8	92.8	99.6	98.6	99.4	99.4	96.6
xglm-topic3shot-seen1000-trim	en-de	97.4	99.6	92.6	99.2	99.0	99.8	99.0	NA
xglm-bm25-3shot-langs-trim	en-de	98.6	100.0	94.4	98.4	99.0	99.6	99.6	NA
xglm-sentsim-3shot-langs-trim	en-de	97.4	100.0	94.8	98.0	98.6	99.8	99.8	NA
xglm-topic3shot-lang500-trim	en-de	97.6	100.0	93.6	98.8	98.8	99.2	99.8	NA
xglm-topic3shot-domain200-trim	en-de	97.4	98.8	93.4	99.0	98.6	99.0	99.6	NA
xglm-domain3shot-all-trim	en-de	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-de	97.8	99.8	92.8	99.0	98.6	99.4	99.6	NA
xglm-rand-topic3shot-seen200-trim	en-de	97.8	99.6	92.2	98.6	97.6	99.4	99.2	96.4
xglm-base-trim	en-fi	22.2	61.0	36.2	65.4	57.6	NA	58.0	33.0
xglm-label-trim	en-fi	62.4	92.4	50.0	91.8	90.4	NA	92.4	50.2
xglm-keywords10-seen500-trim	en-fi	83.0	95.8	75.4	90.8	90.6	NA	95.6	NA
xglm-topic3shot-seen500-trim	en-fi	97.2	98.0	89.0	96.4	96.6	NA	98.4	NA
xglm-rand-label-trim	en-fi	60.0	88.4	56.4	87.6	87.0	NA	92.4	55.8
verbose-base-trim	en-fi	95.4	96.6	92.4	95.2	96.8	NA	98.4	92.0
xglm-keywords30-seen500-trim	en-fi	83.8	95.6	73.4	93.2	91.4	NA	96.8	NA
xglm-rand-keywords10-seen500-trim	en-fi	75.2	94.2	70.4	91.0	90.2	NA	96.4	NA
xglm-rand-keywords10-seen-all-trim	en-fi	71.6	93.2	69.6	91.8	90.8	NA	97.6	NA
xglm-rand-topic3shot-seen500-trim	en-fi	97.2	98.0	89.0	96.4	96.6	NA	98.4	NA
xglm-rand-3shot-seen-all-trim	en-fi	77.2	84.6	73.0	88.2	88.4	NA	93.0	NA
xglm-bm25-3shot-seen-all-trim	en-fi	75.0	85.6	69.2	76.8	81.2	NA	86.6	NA
xglm-sentsim-3shot-seen-all-trim	en-fi	71.4	77.2	73.6	81.4	84.6	NA	90.8	NA
xglm-topic1shot-seen500-trim	en-fi	91.8	97.8	89.0	91.6	94.2	NA	96.4	NA
xglm-topic5shot-seen500-trim	en-fi	97.4	98.6	89.8	97.6	97.6	NA	99.0	NA
xglm-topic3shot-seen200-trim	en-fi	95.2	98.0	90.6	95.0	96.4	NA	98.0	83.8
xglm-topic3shot-seen1000-trim	en-fi	96.4	98.4	89.6	95.4	97.4	NA	98.0	NA
xglm-bm25-3shot-langs-trim	en-fi	98.0	99.2	94.0	97.4	97.6	NA	99.2	NA
xglm-sentsim-3shot-langs-trim	en-fi	97.2	99.8	95.0	97.4	98.6	NA	99.4	NA
xglm-topic3shot-lang500-trim	en-fi	97.6	98.8	90.2	97.0	97.6	NA	99.0	NA
xglm-topic3shot-domain200-trim	en-fi	94.0	98.4	91.4	95.6	97.2	NA	99.4	NA
xglm-domain3shot-all-trim	en-fi	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-3shot-langs-trim	en-fi	96.6	98.4	91.2	96.4	98.6	NA	99.2	NA
xglm-rand-topic3shot-seen200-trim	en-fi	96.0	97.6	87.8	94.8	96.0	NA	97.4	84.2
xglm-base-trim	en-fr	62.8	81.4	64.4	80.4	79.6	94.0	88.4	68.2
xglm-label-trim	en-fr	89.4	96.8	70.0	93.0	93.4	98.8	98.0	83.6
xglm-keywords10-seen500-trim	en-fr	93.4	97.2	82.0	94.4	95.0	99.2	98.8	NA
xglm-topic3shot-seen500-trim	en-fr	96.4	99.6	93.4	94.2	96.4	99.6	98.0	NA
xglm-rand-label-trim	en-fr	86.6	96.0	72.8	92.2	93.4	98.6	97.8	84.4
verbose-base-trim	en-fr	95.2	98.6	91.4	93.0	95.2	99.0	97.4	95.2
xglm-keywords30-seen500-trim	en-fr	93.4	97.6	82.8	95.0	95.4	99.0	98.6	NA
xglm-rand-keywords10-seen500-trim	en-fr	90.8	97.4	82.6	94.6	96.4	99.0	98.6	NA
xglm-rand-keywords10-seen-all-trim	en-fr	92.4	97.0	82.0	94.4	95.8	98.4	98.8	NA
