lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	74.0	79.4	68.2	67.4	70.0	64.3	72.8	NA
en-de	72.3	76.7	67.0	69.9	72.6	68.6	76.0	NA
en-fi	72.8	73.7	66.9	69.9	73.6	NA	77.3	NA
en-fr	75.6	80.5	69.2	70.9	73.2	68.8	78.4	NA
en-lt	47.9	45.0	55.3	48.3	45.3	NA	44.3	NA
en-ro	73.6	81.3	65.7	70.4	72.8	66.5	76.8	NA
en-ta	NA	NA	45.9	46.9	40.2	33.6	40.1	NA
cs-en	72.4	70.8	65.5	68.9	68.1	57.9	72.3	NA
fr-en	71.6	74.0	65.4	69.0	70.0	64.7	74.0	NA
lt-en	67.1	68.8	61.1	64.3	65.6	NA	70.1	NA
ro-en	70.3	71.9	64.3	69.1	69.4	60.6	73.4	NA
mean	69.8	72.2	63.1	65.0	65.5	60.6	68.7	NA
