lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	8.6	13.1	2.8	8.7	9.4	2.9	13.5	NA
en-de	11.1	14.8	NA	NA	NA	NA	NA	NA
en-fi	NA	NA	1.8	5.6	6.7	NA	11.9	NA
en-fr	15.2	20.0	10.7	19.2	20.8	9.1	29.2	NA
en-lt	2.3	2.9	1.2	0.7	0.7	NA	1.2	NA
en-ro	11.9	15.0	3.1	12.9	14.3	4.3	20.3	NA
en-ta	NA	NA	0.2	0.6	0.6	NA	NA	NA
cs-en	19.0	NA	NA	NA	24.8	NA	28.1	NA
fr-en	20.1	NA	NA	NA	NA	NA	NA	NA
lt-en	9.2	10.4	NA	NA	NA	NA	10.1	NA
ro-en	NA	30.2	5.8	29.1	30.1	NA	33.3	NA
mean	12.2	15.2	3.7	11.0	13.4	5.4	18.4	NA
