lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	75.5	81.0	68.6	67.2	69.6	61.4	73.9	70.9
en-de	74.1	78.1	68.4	69.7	72.3	58.5	76.6	76.9
en-fi	74.3	78.0	66.9	70.0	72.7	NA	78.1	69.4
en-fr	76.1	81.2	68.4	70.9	73.6	59.7	78.1	77.8
en-lt	47.7	44.7	55.6	48.1	44.0	NA	43.5	52.9
en-ro	75.0	82.6	66.6	70.1	72.6	64.4	77.3	72.1
en-ta	NA	NA	46.6	47.0	41.2	35.7	40.5	42.4
cs-en	76.1	75.7	65.1	71.0	72.4	NA	76.9	NA
fr-en	75.1	79.4	68.6	72.1	74.7	NA	79.2	NA
lt-en	62.2	61.4	51.6	53.3	56.1	NA	58.5	NA
ro-en	74.9	79.8	64.4	72.6	75.1	NA	79.4	NA
mean	71.1	74.2	62.8	64.7	65.8	55.9	69.3	66.1
