lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	18.5	22.2	23.1	12.9	15.1	4.9	15.6	NA
en-de	26.3	27.1	22.2	18.9	23.1	12.1	23.3	NA
en-fi	13.5	8.9	22.6	7.8	14.7	NA	14.9	NA
en-fr	32.1	35.6	34.7	23.8	30.1	13.6	30.9	NA
en-lt	5.8	5.2	8.5	1.3	1.3	NA	1.9	NA
en-ro	25.8	26.9	21.2	18.9	19.0	6.3	22.0	NA
en-ta	NA	NA	1.2	0.9	0.6	0.0	0.2	NA
cs-en	33.8	37.1	30.6	27.1	27.2	NA	28.5	NA
fr-en	39.2	42.6	38.8	28.8	36.4	NA	35.4	NA
lt-en	13.8	17.3	12.0	6.7	10.6	NA	11.8	NA
ro-en	39.5	40.9	32.6	32.6	32.2	NA	36.2	NA
mean	24.8	26.4	22.5	16.3	19.1	7.4	20.1	NA
