lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	76.7	83.0	75.8	73.5	74.2	66.3	77.0	NA
en-de	76.9	81.2	75.6	76.2	77.2	70.4	80.2	NA
en-fi	73.4	79.3	74.0	75.2	77.2	NA	80.9	NA
en-fr	80.1	84.3	75.4	75.4	77.4	69.9	81.7	NA
en-lt	46.9	44.6	60.8	51.5	45.3	NA	43.9	NA
en-ro	75.4	84.3	73.7	75.9	76.4	67.4	80.1	NA
en-ta	NA	NA	46.1	47.5	37.9	30.3	37.8	NA
cs-en	83.0	82.6	79.8	77.5	79.2	66.6	81.9	NA
fr-en	83.3	85.1	79.3	79.3	81.7	73.3	85.2	NA
lt-en	66.3	65.3	61.9	56.1	58.8	NA	60.7	NA
ro-en	82.3	84.1	78.5	79.6	80.5	66.4	84.5	NA
mean	74.4	77.4	71.0	69.8	69.6	63.8	72.2	NA
