lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	14.7	24.1	6.1	6.9	12.9	15.8	14.3	NA
en-de	15.7	26.3	11.1	7.7	13.5	16.6	16.3	NA
en-fi	12.6	18.3	5.2	7.1	11.3	NA	12.4	NA
en-fr	18.2	28.5	14.8	8.6	15.8	16.7	17.9	NA
en-lt	16.8	30.0	5.4	8.6	22.9	NA	23.2	NA
en-ro	17.7	27.7	6.8	8.2	13.9	16.9	16.4	NA
en-ta	NA	NA	7.7	9.9	24.0	21.7	16.5	NA
cs-en	17.6	30.5	7.1	7.5	12.8	22.4	15.9	NA
fr-en	16.7	29.6	14.3	7.7	14.2	17.5	16.5	NA
lt-en	16.5	31.3	6.8	6.6	15.0	NA	16.4	NA
ro-en	17.9	29.6	7.1	7.8	13.9	17.7	15.8	NA
mean	16.4	27.6	8.4	7.9	15.5	18.2	16.5	NA
