lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
en-cs	73.9	79.0	68.6	66.8	69.7	57.2	72.7	69.7
en-de	72.6	75.2	67.7	68.8	72.4	59.9	75.6	76.9
en-fi	74.5	75.7	66.1	69.3	73.7	NA	77.7	69.6
en-fr	75.3	79.9	68.5	69.5	72.1	56.7	77.5	77.6
en-lt	47.6	44.6	55.1	48.2	44.8	NA	43.3	53.7
en-ro	75.8	81.9	66.9	70.7	73.0	66.8	77.0	72.8
en-ta	NA	NA	45.6	46.2	37.4	34.4	39.7	42.6
cs-en	NA	NA	NA	NA	NA	NA	NA	NA
fr-en	NA	NA	NA	NA	NA	NA	NA	NA
lt-en	NA	NA	NA	NA	NA	NA	NA	NA
ro-en	NA	NA	NA	NA	NA	NA	NA	NA
mean	70.0	72.7	62.6	62.8	63.3	55.0	66.2	66.1
